Customer_name,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Target
Xr7Yi3Hv6Bk8Yi6T,4174,1292.76,ATM Withdrawal,16,Tablet,mumbai,0,119,13,Debit Card,0
Sj9Ik0Wt6Ky6Mu9U,4507,1554.58,ATM Withdrawal,13,Mobile,delhi,4,79,3,Credit Card,0
Lh9Rf5Dq8Nm3Sx8W,1860,2395.02,ATM Withdrawal,,Mobile,,3,115,9,,0
Mx3Tn2At7Es9Ox4P,2294,100.1,Bill Payment,15,Desktop,bangalore,4,3,4,UPI,0
Zs2Kd7Vl3On1Gq5E,2130,1490.5,POS Payment,19,Mobile,mumbai,2,57,7,Credit Card,0
Le7Jp4Lg0Hy1Qk6Q,2095,2372.04,ATM Withdrawal,15,Desktop,chennai,3,96,14,Credit Card,0
Hb2Rs9Ul6Fy1Vx6Q,4772,544.81,Bill Payment,2,Tablet,chennai,3,6,9,UPI,1
Qa0Ah7Ye8By1Hy2Q,4092,635.75,ATM Withdrawal,13,Tablet,chennai,2,13,10,Debit Card,0
Sd7Pb7Kv0Qx9Jp2U,2638,2318.87,Bank Transfer,,Mobile,mumbai,4,110,12,Debit Card,0
Yi4Pk7Yx9Ka4Mo6G,3169,3656.17,Bill Payment,3,Mobile,bangalore,4,66,3,Net Banking,0
Zh8Nq2Ma3Sa2Cg3V,1466,,Online Purchase,3,Tablet,kolkata,1,4,6,Net Banking,0
Nr1Jd4Hj7Ye1Fw9X,2238,2733.84,Bill Payment,20,Mobile,mumbai,2,68,1,Credit Card,0
Qw4Cm9Bm0Vr2Ua4F,1330,2376.37,Bank Transfer,0,Mobile,chennai,1,25,7,Net Banking,0
Se7Rg4Bx5Gd5Em4I,2482,1924.48,Online Purchase,0,Tablet,bangalore,0,113,1,Net Banking,0
Yj2Tt4Tm0Tx3Wz9Z,3135,968.78,ATM Withdrawal,15,,mumbai,1,52,13,Net Banking,0
Wb2Qn8Vq2Td7Li8W,4444,737.08,Bill Payment,12,Tablet,kolkata,2,65,4,Net Banking,0
Oc9Gt2Qa4Ma4Jm2M,4171,3960.52,Bank Transfer,13,Tablet,hydrabad,2,68,8,Debit Card,0
Lv6Ax3Xg7Mg3Sm2E,3919,2327.71,Online Purchase,20,,hydrabad,4,21,1,Debit Card,0
Eg7Pu8Ot0Pf9Jq3Y,4735,3952.65,POS Payment,21,Tablet,chennai,1,61,14,Net Banking,0
Qo1Lt9Po1Mw6Hw2T,1130,3521.89,Bill Payment,14,Mobile,mumbai,1,22,12,UPI,0
Vu8Gx2Wq6Ts7Jy1I,2685,973.51,Bill Payment,2,Mobile,delhi,1,43,12,UPI,0
Mr4Sk3Qm5Ja4Yw5R,4380,2553.98,ATM Withdrawal,3,Mobile,hydrabad,1,7,9,Net Banking,0
Wc8Tz4Mg1Wf0Oe6Z,1769,2222.86,POS Payment,14,Mobile,hydrabad,1,103,10,UPI,0
Qd4Sw9Te3Sf0Mn1V,3391,,ATM Withdrawal,7,Mobile,chennai,3,8,10,Net Banking,0
Wa1Sd0Rm7Bm2Hb9M,2515,2715.14,POS Payment,4,,chennai,1,71,10,Net Banking,0
Kh6Tw8Dd6Da7Re0Q,4485,,Online Purchase,17,Mobile,hydrabad,2,63,8,UPI,0
Lc9Gt4Qj5Xl5Bj9O,3853,4065.44,Online Purchase,21,Tablet,delhi,4,99,9,Net Banking,0
Py0Qt3Mz3Iv1Ry0L,3433,4519.04,Bill Payment,13,Tablet,chennai,0,81,10,Credit Card,1
Wx2Iy8Mt0Or8Qy7V,2215,153.05,Bill Payment,20,Mobile,Ahmedabad,3,82,2,Debit Card,0
Xh4Ts6Lg3Ww3Dw0J,1955,705.98,Online Purchase,12,Mobile,Ahmedabad,3,2,11,UPI,0
Np3Qm7Gb9Nr6Qq0K,3324,428.39,POS Payment,20,Desktop,delhi,0,85,10,Credit Card,0
Up9Za4Kg2Jf5Ha8I,2184,1319.84,ATM Withdrawal,12,Mobile,kolkata,3,81,2,Debit Card,0
Sb9Qa4Ws3Qn1Tu0M,1459,2212.25,Online Purchase,10,Desktop,delhi,4,14,13,UPI,0
Bq5Np6Hm8Pw5Hx4J,4385,3212.06,Online Purchase,20,Mobile,mumbai,0,31,2,UPI,0
Nw1Jx1Vu3Tg4Zw4N,1021,2506.65,Bank Transfer,5,Tablet,hydrabad,0,108,13,Debit Card,0
Au9Rz0Qb4Zc6Cs4Q,3300,4516.4,Bill Payment,7,Mobile,kolkata,0,110,10,Net Banking,0
Yn5Mb8Ug8Cu3Pg9F,1747,4699.58,POS Payment,15,Desktop,mumbai,1,14,14,Net Banking,0
Hk7Ov7Ko3Yv1Mm0B,3904,821.79,ATM Withdrawal,7,Mobile,mumbai,2,116,10,Credit Card,0
Fo9Vc5Jm6As0Vx9T,4632,4265.3,Bank Transfer,0,Tablet,pune,4,15,4,UPI,0
Pq9Hc4Oj3Rq2Bw6K,1474,2411.2,Bank Transfer,19,Mobile,delhi,4,14,12,,0
Uc2Qp3Ml9Ev3Jj0L,2082,2269.38,Online Purchase,8,Tablet,delhi,0,51,1,Debit Card,0
Je7Rt8Vo4Hb1Lt0C,3558,3925.77,Bill Payment,13,Mobile,kolkata,2,71,1,Invalid Method,0
Jm3Fp3Ab2Vm3Iq1Q,4753,470.24,Online Purchase,11,Desktop,chennai,2,8,3,Debit Card,0
Rm2Wa3Ct5Xi1Lt9Y,3047,4413.05,Bank Transfer,21,Desktop,chennai,4,46,11,Credit Card,1
Dl2Lv2Do7Zw4Oc2K,4547,3355.96,Bank Transfer,4,Desktop,kolkata,0,21,3,Net Banking,0
Ws0Tb9Fz5Dy6Jr1S,3747,4376.93,ATM Withdrawal,20,Mobile,delhi,1,94,7,Net Banking,0
Bl1Nm7Da3Nn6Ul0T,1975,4972.42,Online Purchase,13,Tablet,kolkata,1,93,14,Credit Card,0
Jc7Up2Vj4Fj8Pj5J,2806,2592.43,Online Purchase,13,Tablet,delhi,1,119,14,Net Banking,0
Nt0Qc0Np3Yu7Ho2T,1189,470.84,POS Payment,,Tablet,delhi,1,70,3,Net Banking,0
He8Ov2Eb9Na2Fq5J,4005,,ATM Withdrawal,4,Mobile,chennai,3,10,7,Debit Card,0
Hq3Wf1Ap4Ub1Ct1G,3734,1621.47,Bill Payment,17,Desktop,Ahmedabad,4,108,5,Debit Card,0
Hl8Dc1By1Za2Gx4F,4005,522.25,Online Purchase,8,Mobile,hydrabad,0,1,1,Net Banking,0
Cp2Kq9Ms5Wt3Qa2N,1562,4077.63,Online Purchase,18,Desktop,kolkata,1,85,12,Debit Card,0
Nc6Xi8Ix2Un1Tu8L,2899,1487.85,Bill Payment,0,Mobile,kolkata,0,21,5,Debit Card,0
Tu7Mv5Tu5Sv4Fh7U,4638,4879.55,ATM Withdrawal,1,Desktop,kolkata,0,58,11,Net Banking,0
Iw0Fs1Sp1Dn7Fc3C,2267,3514.44,Online Purchase,20,Tablet,mumbai,2,112,6,Net Banking,0
