algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,F1_1,F1_2,F1_3,F1_4,F1_avg,AUC_1,AUC_2,AUC_3,AUC_4,AUC_avg
Logistic Regression,train,0.915384615384615,0.957446808510638,0.958904109589041,0.878125,0.125,0.72986897952492,0.96085409252669,0.96551724137931,0.912337662337662,0.0645161290322581,0.72580628131898,0.959147424511545,0.962199312714777,0.894904458598726,0.0851063829787234,0.725339394700943,0.994659092837866,0.995945494994438,0.987347370237736,0.970567727256046,0.987129921331522
Logistic Regression,test,0.903508771929825,0.961538461538462,0.91304347826087,0.894736842105263,0,0.692329695476149,0.949367088607595,0.9,0.906666666666667,0,0.689008438818565,0.955414012738854,0.906474820143885,0.900662251655629,0,0.690637771134592,0.997111545323252,0.990415913200723,0.99041394335512,0.969866071428571,0.986951868326917
SVC Classifier 1,train,0.92967032967033,0.960992907801418,0.962068965517241,0.875739644970414,0,0.699700379572269,0.9644128113879,0.962068965517241,0.961038961038961,0,0.721880184486026,0.962699822380107,0.962068965517241,0.91640866873065,0,0.710294364157,0.995485122970993,0.995750834260289,0.969236743323122,0.914382179162538,0.968713719929236
SVC Classifier 1,test,0.916666666666667,0.948717948717949,0.925373134328358,0.879518072289157,0,0.688402288833866,0.936708860759494,0.885714285714286,0.973333333333333,0,0.698939119951778,0.942675159235669,0.905109489051095,0.924050632911392,0,0.692958820299539,0.996771727125988,0.99122965641953,0.993289760348584,0.9921875,0.993369660973525
SVC Classifier 2,train,0.927472527472528,0.960714285714286,0.955479452054795,0.875739644970414,0,0.697983345684874,0.957295373665481,0.962068965517241,0.961038961038961,0,0.720100825055421,0.959001782531194,0.958762886597938,0.91640866873065,0,0.708543334464946,0.995988661887762,0.995033370411569,0.988976140138931,0.982237880289185,0.990559013181862
SVC Classifier 2,test,0.921052631578947,0.960526315789474,0.914285714285714,0.890243902439024,0,0.691263983128553,0.924050632911392,0.914285714285714,0.973333333333333,0,0.70291742013261,0.941935483870968,0.914285714285714,0.929936305732484,0,0.696539375972292,0.996431908928723,0.989602169981917,0.992766884531591,0.986607142857143,0.991352026574843
Random Forest Classifier 1,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Random Forest Classifier 1,test,0.925438596491228,0.948051948051948,0.926470588235294,0.911392405063291,0.75,0.883978735337633,0.924050632911392,0.9,0.96,0.75,0.883512658227848,0.935897435897436,0.91304347826087,0.935064935064935,0.75,0.88350146230581,0.993416022428001,0.979882459312839,0.980479302832244,0.983258928571429,0.984259178286128
Random Forest Classifier 2,train,0.964835164835165,0.97841726618705,0.979020979020979,0.949526813880126,0.862068965517241,0.942258506151349,0.96797153024911,0.96551724137931,0.977272727272727,0.806451612903226,0.929303277951094,0.973166368515206,0.972222222222222,0.9632,0.833333333333333,0.93548048101769,0.999309755642182,0.999238042269188,0.998247184708979,0.997834782927814,0.998657441387041
Random Forest Classifier 2,test,0.921052631578947,0.948051948051948,0.926470588235294,0.91025641025641,0.6,0.846194736635913,0.924050632911392,0.9,0.946666666666667,0.75,0.880179324894515,0.935897435897436,0.91304347826087,0.928104575163399,0.666666666666667,0.860928038997093,0.995157590688981,0.98630198915009,0.989106753812636,0.988839285714286,0.989851404841498
Random Forest Classifier 3,train,0.958241758241758,0.974820143884892,0.96875,0.943217665615142,0.851851851851852,0.934659915337972,0.9644128113879,0.962068965517241,0.970779220779221,0.741935483870968,0.909799120388833,0.9695885509839,0.965397923875433,0.9568,0.793103448275862,0.921222480783799,0.998783585762861,0.998637374860957,0.996774819864521,0.995669565855628,0.997466336585992
Random Forest Classifier 3,test,0.929824561403509,0.948051948051948,0.927536231884058,0.923076923076923,0.75,0.887166275753232,0.924050632911392,0.914285714285714,0.96,0.75,0.887084086799277,0.935897435897436,0.920863309352518,0.941176470588235,0.75,0.886984303959547,0.995497408886246,0.988607594936709,0.990936819172113,0.988839285714286,0.990970277177339
Neural Network Classifier 1,train,0.915384615384615,0.943462897526502,0.936454849498328,0.894568690095847,0.4,0.793621609280169,0.950177935943061,0.96551724137931,0.909090909090909,0.193548387096774,0.754583618377514,0.946808510638298,0.950764006791172,0.901771336553945,0.260869565217391,0.765053354800201,0.991145635901759,0.994338153503893,0.981754541139923,0.951814745495248,0.979763269010206
Neural Network Classifier 1,test,0.912280701754386,0.986666666666667,0.904109589041096,0.894736842105263,0,0.696378274453256,0.936708860759494,0.942857142857143,0.906666666666667,0,0.696558167570826,0.961038961038961,0.923076923076923,0.900662251655629,0,0.696194533942878,0.993798317899924,0.987613019891501,0.989019607843137,0.940848214285714,0.977819789980069
Neural Network Classifier 2,train,0.91978021978022,0.950704225352113,0.930232558139535,0.883076923076923,0,0.691003426642143,0.96085409252669,0.96551724137931,0.931818181818182,0,0.714547378931046,0.955752212389381,0.947546531302877,0.906793048973144,0,0.70252294816635,0.990144215808859,0.987839265850946,0.968446628122708,0.684759073727476,0.907797295877497
Neural Network Classifier 2,test,0.929824561403509,0.948717948717949,0.942028985507246,0.901234567901235,0,0.697995375531607,0.936708860759494,0.928571428571429,0.973333333333333,0,0.709653405666064,0.942675159235669,0.935251798561151,0.935897435897436,0,0.703456098423564,0.993585931526633,0.982414104882459,0.986056644880174,0.908482142857143,0.967634706036602
Neural Network Classifier 3,train,0.926373626373626,0.960992907801418,0.955479452054795,0.874626865671642,0,0.697774806381964,0.9644128113879,0.962068965517241,0.951298701298701,0,0.719445119550961,0.962699822380107,0.958762886597938,0.911353032659409,0,0.708203935409363,0.990189477733962,0.994449388209121,0.986266018035121,0.949410987559176,0.980078967884345
Neural Network Classifier 3,test,0.912280701754386,0.948717948717949,0.911764705882353,0.878048780487805,0,0.684632858772027,0.936708860759494,0.885714285714286,0.96,0,0.695605786618445,0.942675159235669,0.898550724637681,0.917197452229299,0,0.689605834025662,0.992608954209498,0.986708860759494,0.99041394335512,0.908482142857143,0.969553475295314
